property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11320903,18052024,1495000,APARTMENT,209.0,GAS,False,True,12.0,1.0,2,2.0,True,,,,True,25.0,True,13.0,C,289.0,9000,51.057567,3.7245815,1940.0,,,5.0,,NON_FLOOD_ZONE,1895
11320903,16052024,1495000,APARTMENT,209.0,GAS,False,True,12.0,1.0,2,2.0,True,,,,True,25.0,True,13.0,C,289.0,9000,51.057567,3.7245815,1940.0,,,5.0,,NON_FLOOD_ZONE,1895
11378079,18052024,239000,APARTMENT,38.0,GAS,False,True,6.0,1.0,1,1.0,False,,,,,,,,B,129.0,9000,51.0373716,3.7090845,,GOOD,,,,NON_FLOOD_ZONE,0
11378079,16052024,239000,APARTMENT,38.0,GAS,False,True,6.0,1.0,1,1.0,False,,,,,,,,B,129.0,9000,51.0373716,3.7090845,,GOOD,,,,NON_FLOOD_ZONE,0
11322277,18052024,369000,APARTMENT,86.0,GAS,,True,,1.0,2,1.0,False,,,,,,,,B,109.0,9000,51.0539067,3.7178208,2016.0,GOOD,,5.0,,NON_FLOOD_ZONE,0
11322277,16052024,369000,APARTMENT,86.0,GAS,,True,,1.0,2,1.0,False,,,,,,,,B,109.0,9000,51.0539067,3.7178208,2016.0,GOOD,,5.0,,NON_FLOOD_ZONE,0
10872679,18052024,549000,HOUSE,210.0,ELECTRIC,False,True,4.0,,4,2.0,True,,,,,,,,E,444.0,9031,51.0366407,3.6163535,,,,,1300.0,NON_FLOOD_ZONE,523
10872679,16052024,549000,HOUSE,210.0,ELECTRIC,False,True,4.0,,4,2.0,True,,,,,,,,E,444.0,9031,51.0366407,3.6163535,,,,,1300.0,NON_FLOOD_ZONE,523
11201341,18052024,1695000,HOUSE,315.0,,,True,,3.0,5,,False,,True,,True,,True,335.0,B,109.62,9000,51.0295737,3.7223334,2015.0,GOOD,,2.0,942.0,NON_FLOOD_ZONE,0
11201341,16052024,1695000,HOUSE,315.0,,,True,,3.0,5,,False,,True,,True,,True,335.0,B,109.62,9000,51.0295737,3.7223334,2015.0,GOOD,,2.0,942.0,NON_FLOOD_ZONE,0
11388687,18052024,279000,HOUSE,75.0,GAS,False,True,1.0,1.0,2,1.0,True,,,,,,,,C,251.0,9000,51.0746879,3.7316468,1874.0,GOOD,,3.0,40.0,NON_FLOOD_ZONE,203
11388687,16052024,279000,HOUSE,75.0,GAS,False,True,1.0,1.0,2,1.0,True,,,,,,,,C,251.0,9000,51.0746879,3.7316468,1874.0,GOOD,,3.0,40.0,NON_FLOOD_ZONE,203
11362761,18052024,479000,HOUSE,168.0,,,True,,2.0,4,2.0,False,,,,True,18.0,True,131.0,A+,,9032,51.0857731,3.7039566,2024.0,,,2.0,332.0,NON_FLOOD_ZONE,0
11362761,16052024,479000,HOUSE,168.0,,,True,,2.0,4,2.0,False,,,,True,18.0,True,131.0,A+,,9032,51.0857731,3.7039566,2024.0,,,2.0,332.0,NON_FLOOD_ZONE,0
11211127,18052024,450000,HOUSE,135.0,ELECTRIC,,True,,1.0,5,2.0,True,,,,,,True,8.0,F,682.0,9000,51.0627497,3.709267,,GOOD,,2.0,79.0,NON_FLOOD_ZONE,536
11211127,16052024,450000,HOUSE,135.0,ELECTRIC,,True,,1.0,5,2.0,True,,,,,,True,8.0,F,682.0,9000,51.0627497,3.709267,,GOOD,,2.0,79.0,NON_FLOOD_ZONE,536
10843554,18052024,482338,HOUSE,166.0,,,True,,1.0,3,,False,,True,,,,,,A,,9041,51.0719247,3.8019171,,,,,366.0,,0
10843554,16052024,482338,HOUSE,166.0,,,True,,1.0,3,,False,,True,,,,,,A,,9041,51.0719247,3.8019171,,,,,366.0,,0
11308720,18052024,429500,HOUSE,140.0,,True,,4.0,1.0,3,,False,,,,,,True,134.0,,0.0,9030,51.0788043,3.6727345,,GOOD,,,204.0,,0
11308720,16052024,429500,HOUSE,140.0,,True,,4.0,1.0,3,,False,,,,,,True,134.0,,0.0,9030,51.0788043,3.6727345,,GOOD,,,204.0,,0
11332444,18052024,349000,HOUSE,130.0,,,True,,1.0,3,2.0,True,,,,True,,,,E,429.0,9041,51.0943402,3.7640164,,,,,350.0,NON_FLOOD_ZONE,0
11332444,16052024,349000,HOUSE,130.0,,,True,,1.0,3,2.0,True,,,,True,,,,E,429.0,9041,51.0943402,3.7640164,,,,,350.0,NON_FLOOD_ZONE,0
11354232,18052024,249000,HOUSE,113.0,GAS,False,True,5.0,1.0,2,,False,,,,,,,,E,467.0,9042,51.1556758,3.815504,1874.0,TO_RENOVATE,,,798.0,NON_FLOOD_ZONE,108
11354232,16052024,249000,HOUSE,113.0,GAS,False,True,5.0,1.0,2,,False,,,,,,,,E,467.0,9042,51.1556758,3.815504,1874.0,TO_RENOVATE,,,798.0,NON_FLOOD_ZONE,108
11240912,18052024,436000,HOUSE,133.0,,True,,4.0,1.0,3,,False,,,,,,True,115.0,,0.0,9032,51.0919929,3.7082647,,GOOD,,,181.0,NON_FLOOD_ZONE,0
11240912,16052024,436000,HOUSE,133.0,,True,,4.0,1.0,3,,False,,,,,,True,115.0,,0.0,9032,51.0919929,3.7082647,,GOOD,,,181.0,NON_FLOOD_ZONE,0
