,property_id,date_obtained,price,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,property_size,flood_zone_type,cadastral_income,age,price_sq,property_type_HOUSE
88573,11311574,2024-05-22,495.0,224.0,Unknown,False,True,1.0,4.0,2.0,False,False,False,False,0.0,False,0.0,C,238.0,9031,51.0389723,3.6111161,1982.0,Unknown,811.0,NON_FLOOD_ZONE,1026.0,42.0,2.2098214285714284,True
124487,11383680,2024-05-22,545.0,124.0,GAS,False,True,1.0,2.0,1.0,False,False,False,True,6.0,False,0.0,B,183.0,9000,51.0552522,3.7273442,,JUST_RENOVATED,,NON_FLOOD_ZONE,1219.0,,4.395161290322581,False
92910,11323027,2024-05-22,450.0,162.0,Unknown,False,True,1.0,4.0,2.0,True,False,False,False,0.0,True,75.0,D,352.27910958904107,9040,51.0760207,3.7838238,1967.0,GOOD,272.0,NON_FLOOD_ZONE,984.0,57.0,2.7777777777777777,True
114754,11026211,2024-05-22,298.0,107.0,ELECTRIC,False,True,1.0,2.0,2.0,False,False,False,False,0.0,False,0.0,D,327.0,9050,51.0358391,3.7629803,1978.0,GOOD,,NON_FLOOD_ZONE,852.0,46.0,2.7850467289719627,False
14944,11044880,2024-05-22,448.0,126.0,GAS,False,True,1.0,2.0,1.0,True,False,True,True,16.0,False,0.0,B,170.0,9050,51.0403105,3.7621701,1997.0,GOOD,,NON_FLOOD_ZONE,1075.0,27.0,3.5555555555555554,False
54053,11323121,2024-05-22,560.0,159.0,GAS,False,True,1.0,3.0,2.0,False,False,False,True,0.0,False,0.0,A,82.0,9000,51.0601649,3.6894172,2019.0,Unknown,126.0,Unknown,1148.0,5.0,3.5220125786163523,True
65801,11171021,2024-05-22,264.0,85.0,ELECTRIC,False,True,1.0,2.0,1.0,True,False,True,True,0.0,False,0.0,B,185.0,9820,51.0199125,3.7531303,1975.0,Unknown,,NON_FLOOD_ZONE,946.0,49.0,3.1058823529411765,False
56178,11383678,2024-05-22,385.0,86.0,GAS,False,True,1.0,1.0,1.0,False,False,False,False,0.0,True,15.0,C,269.0,9000,51.0552522,3.7273442,,JUST_RENOVATED,,NON_FLOOD_ZONE,981.0,,4.476744186046512,False
65396,11304741,2024-05-22,220.0,92.0,Unknown,False,False,1.0,3.0,1.0,False,True,False,False,0.0,False,0.0,F,621.0,9000,51.0612079,3.7089611,,TO_RENOVATE,59.0,NON_FLOOD_ZONE,294.0,,2.391304347826087,True
99966,11334425,2024-05-22,379.0,101.0,ELECTRIC,False,True,1.0,3.0,1.0,True,False,False,True,7.0,False,0.0,B,163.0,9000,51.0569409,3.7422845,1955.0,Unknown,,NON_FLOOD_ZONE,972.0,69.0,3.7524752475247523,False
96478,11388701,2024-05-22,395.0,98.0,GAS,False,True,1.0,2.0,1.0,False,False,False,True,14.0,False,0.0,A,75.0,9000,51.0673966,3.7071172,2019.0,AS_NEW,,Unknown,867.0,5.0,4.030612244897959,False
3807,11382928,2024-05-22,189.0,30.0,Unknown,False,True,1.0,2.0,1.0,False,False,False,False,0.0,False,0.0,B,158.0,9000,51.0670799,3.7291675,,AS_NEW,50.0,NON_FLOOD_ZONE,596.0,,6.3,True
42282,11173021,2024-05-22,198.0,100.0,FUELOIL,False,False,1.0,2.0,1.0,True,False,False,True,14.0,True,70.0,F,817.0,9041,51.1027293,3.7724464,1933.0,TO_RENOVATE,183.0,NON_FLOOD_ZONE,302.0,91.0,1.98,True
38622,11279791,2024-05-22,325.0,92.0,FUELOIL,False,True,1.0,2.0,1.0,True,False,True,False,0.0,False,0.0,B,154.1249146757679,9000,51.0468332,3.7077916,1970.0,AS_NEW,,Unknown,991.0,54.0,3.532608695652174,False
100378,11378164,2024-05-22,269.0,73.0,GAS,False,True,1.0,2.0,1.0,True,False,False,True,10.0,False,0.0,B,126.0,9000,51.0542675,3.7015006,1971.0,GOOD,,NON_FLOOD_ZONE,808.0,53.0,3.684931506849315,False
100637,11367147,2024-05-22,239.0,49.0,Unknown,False,True,1.0,1.0,1.0,True,False,False,False,0.0,False,0.0,D,331.0,9040,51.0662855,3.7579532,,Unknown,,NON_FLOOD_ZONE,636.0,,4.877551020408164,False
100172,11342809,2024-05-22,355.0,154.0,GAS,True,True,1.0,2.0,1.0,False,False,False,False,0.0,False,0.0,C,263.0,9820,50.985945,3.7294213,,AS_NEW,438.0,NON_FLOOD_ZONE,849.0,,2.3051948051948052,True
